Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
United Arab Emirates,Export,240220,Cigarettes; containing tobacco,2019, World,        4257730.68,2.06884e+008,Kg
Poland,Export,240220,Cigarettes; containing tobacco,2019, World,        3499292.86,1.74005e+008,Kg
Germany,Export,240220,Cigarettes; containing tobacco,2019, World,        2327789.22,8.81865e+007,Kg
European Union,Export,240220,Cigarettes; containing tobacco,2019, World,        1455893.79,6.34005e+007,Kg
"Hong Kong, China",Export,240220,Cigarettes; containing tobacco,2019, World,        1098271.83,5.60921e+007,Kg
Singapore,Export,240220,Cigarettes; containing tobacco,2019, World,        1060970.56,6.08107e+007,Kg
United States,Export,240220,Cigarettes; containing tobacco,2019, World,         834693.90,,
Indonesia,Export,240220,Cigarettes; containing tobacco,2019, World,         823813.55,9.02121e+007,Kg
Czech Republic,Export,240220,Cigarettes; containing tobacco,2019, World,         785074.68,3.28993e+007,Kg
Romania,Export,240220,Cigarettes; containing tobacco,2019, World,         742701.48,3.84536e+007,Kg
Lithuania,Export,240220,Cigarettes; containing tobacco,2019, World,         731398.30,4.18778e+007,Kg
"Korea, Rep.",Export,240220,Cigarettes; containing tobacco,2019, World,         717409.12,5.13104e+007,Kg
China,Export,240220,Cigarettes; containing tobacco,2019, World,         705422.09,3.39437e+007,Kg
Portugal,Export,240220,Cigarettes; containing tobacco,2019, World,         640585.56,2.42512e+007,Kg
Switzerland,Export,240220,Cigarettes; containing tobacco,2019, World,         531635.98,2.34211e+007,Kg
Oman,Export,240220,Cigarettes; containing tobacco,2019, World,         472038.08,2.15728e+007,Kg
Turkey,Export,240220,Cigarettes; containing tobacco,2019, World,         470514.97,5.49389e+007,Kg
Netherlands,Export,240220,Cigarettes; containing tobacco,2019, World,         412640.19,1.21596e+007,Kg
Ukraine,Export,240220,Cigarettes; containing tobacco,2019, World,         332599.64,2.84272e+007,Kg
Armenia,Export,240220,Cigarettes; containing tobacco,2019, World,         272920.11,2.84808e+007,Kg
Philippines,Export,240220,Cigarettes; containing tobacco,2019, World,         265219.59,2.88466e+007,Kg
Vietnam,Export,240220,Cigarettes; containing tobacco,2019, World,         264655.94,1.35168e+007,Kg
Russian Federation,Export,240220,Cigarettes; containing tobacco,2019, World,         262045.91,2.50608e+007,Kg
Greece,Export,240220,Cigarettes; containing tobacco,2019, World,         211242.94,1.67767e+007,Kg
"Serbia, FR(Serbia/Montenegro)",Export,240220,Cigarettes; containing tobacco,2019, World,         195499.84,2.6861e+007,Kg
Thailand,Export,240220,Cigarettes; containing tobacco,2019, World,         193519.60,1.00468e+007,Kg
"Other Asia, nes",Export,240220,Cigarettes; containing tobacco,2019, World,         137452.14,9.87465e+006,Kg
Hungary,Export,240220,Cigarettes; containing tobacco,2019, World,         134411.36,9.30668e+006,Kg
South Africa,Export,240220,Cigarettes; containing tobacco,2019, World,         129646.96,1.33292e+007,Kg
Croatia,Export,240220,Cigarettes; containing tobacco,2019, World,         127148.45,9.06947e+006,Kg
Japan,Export,240220,Cigarettes; containing tobacco,2019, World,         121895.04,3.03934e+006,Kg
Bahrain,Export,240220,Cigarettes; containing tobacco,2019, World,         106183.61,1.07419e+007,Kg
Canada,Export,240220,Cigarettes; containing tobacco,2019, World,         103839.70,5.82982e+006,Kg
Panama,Export,240220,Cigarettes; containing tobacco,2019, World,         101276.89,5.68594e+006,Kg
India,Export,240220,Cigarettes; containing tobacco,2019, World,          98920.36,5.05217e+006,Kg
Spain,Export,240220,Cigarettes; containing tobacco,2019, World,          93996.54,1.70162e+006,Kg
Luxembourg,Export,240220,Cigarettes; containing tobacco,2019, World,          83889.60,5.16674e+006,Kg
Kazakhstan,Export,240220,Cigarettes; containing tobacco,2019, World,          82738.56,5.31749e+006,Kg
Chile,Export,240220,Cigarettes; containing tobacco,2019, World,          80031.78,6.41378e+006,Kg
Belgium,Export,240220,Cigarettes; containing tobacco,2019, World,          68944.90,1.52712e+006,Kg
Kenya,Export,240220,Cigarettes; containing tobacco,2019, World,          66181.44,4.61997e+006,Kg
Lao PDR,Export,240220,Cigarettes; containing tobacco,2019, World,          65791.12,6.3318e+006,Kg
Bulgaria,Export,240220,Cigarettes; containing tobacco,2019, World,          64020.69,5.84298e+006,Kg
Malaysia,Export,240220,Cigarettes; containing tobacco,2019, World,          62213.67,3.32577e+006,Kg
Georgia,Export,240220,Cigarettes; containing tobacco,2019, World,          53505.12,3.44502e+006,Kg
Tunisia,Export,240220,Cigarettes; containing tobacco,2019, World,          48174.71,319088,Kg
Trinidad and Tobago,Export,240220,Cigarettes; containing tobacco,2019, World,          42562.99,2.37605e+006,Kg
New Zealand,Export,240220,Cigarettes; containing tobacco,2019, World,          39163.43,,
Myanmar,Export,240220,Cigarettes; containing tobacco,2019, World,          38967.08,3.22004e+006,Kg
Suriname,Export,240220,Cigarettes; containing tobacco,2019, World,          36625.77,5.97918e+006,Kg
Australia,Export,240220,Cigarettes; containing tobacco,2019, World,          36298.65,1.16182e+012,Kg
Senegal,Export,240220,Cigarettes; containing tobacco,2019, World,          31704.51,1.46206e+006,Kg
Latvia,Export,240220,Cigarettes; containing tobacco,2019, World,          27317.39,2.28606e+006,Kg
Honduras,Export,240220,Cigarettes; containing tobacco,2019, World,          27018.18,3.39956e+006,Kg
Paraguay,Export,240220,Cigarettes; containing tobacco,2019, World,          25254.35,3.32048e+006,Kg
France,Export,240220,Cigarettes; containing tobacco,2019, World,          23721.85,170206,Kg
Kyrgyz Republic,Export,240220,Cigarettes; containing tobacco,2019, World,          21833.20,3.0363e+006,Kg
Aruba,Export,240220,Cigarettes; containing tobacco,2019, World,          21461.21,2.99641e+006,Kg
Malta,Export,240220,Cigarettes; containing tobacco,2019, World,          19995.89,1.08768e+006,Kg
Tanzania,Export,240220,Cigarettes; containing tobacco,2019, World,          19924.85,2.46949e+006,Kg
Brazil,Export,240220,Cigarettes; containing tobacco,2019, World,          19812.72,2.16822e+006,Kg
Moldova,Export,240220,Cigarettes; containing tobacco,2019, World,          18819.91,1.3305e+006,Kg
Seychelles,Export,240220,Cigarettes; containing tobacco,2019, World,          18584.96,1.15335e+006,Kg
North Macedonia,Export,240220,Cigarettes; containing tobacco,2019, World,          17469.71,2.16456e+006,Kg
Cambodia,Export,240220,Cigarettes; containing tobacco,2019, World,          17273.04,2.88418e+006,Kg
Uruguay,Export,240220,Cigarettes; containing tobacco,2019, World,          15701.03,1.55636e+006,Kg
Nigeria,Export,240220,Cigarettes; containing tobacco,2019, World,          15547.56,2.0653e+006,Kg
Zimbabwe,Export,240220,Cigarettes; containing tobacco,2019, World,          15357.64,2.40059e+006,Kg
Dominican Republic,Export,240220,Cigarettes; containing tobacco,2019, World,          13479.09,879432,Kg
Uzbekistan,Export,240220,Cigarettes; containing tobacco,2019, World,          13002.26,664065,Kg
Cote d'Ivoire,Export,240220,Cigarettes; containing tobacco,2019, World,          12964.27,1.03855e+006,Kg
Occ.Pal.Terr,Export,240220,Cigarettes; containing tobacco,2019, World,          11467.63,643821,Kg
Denmark,Export,240220,Cigarettes; containing tobacco,2019, World,           8835.25,89131,Kg
Italy,Export,240220,Cigarettes; containing tobacco,2019, World,           7382.21,109905,Kg
Sweden,Export,240220,Cigarettes; containing tobacco,2019, World,           7338.49,98742.6,Kg
Uganda,Export,240220,Cigarettes; containing tobacco,2019, World,           7172.26,965413,Kg
Sri Lanka,Export,240220,Cigarettes; containing tobacco,2019, World,           5723.09,533079,Kg
Belize,Export,240220,Cigarettes; containing tobacco,2019, World,           5394.94,1.8201e+006,Kg
Jamaica,Export,240220,Cigarettes; containing tobacco,2019, World,           5301.55,221361,Kg
Kuwait,Export,240220,Cigarettes; containing tobacco,2019, World,           4440.17,157039,Kg
Colombia,Export,240220,Cigarettes; containing tobacco,2019, World,           4402.44,482335,Kg
Estonia,Export,240220,Cigarettes; containing tobacco,2019, World,           4080.93,37855.9,Kg
Burundi,Export,240220,Cigarettes; containing tobacco,2019, World,           3704.99,561029,Kg
Cyprus,Export,240220,Cigarettes; containing tobacco,2019, World,           3683.01,609625,Kg
United Kingdom,Export,240220,Cigarettes; containing tobacco,2019, World,           3451.31,173363,Kg
Namibia,Export,240220,Cigarettes; containing tobacco,2019, World,           3369.36,,
Mauritius,Export,240220,Cigarettes; containing tobacco,2019, World,           3290.35,54872.4,Kg
Mongolia,Export,240220,Cigarettes; containing tobacco,2019, World,           3218.89,77757.6,Kg
Botswana,Export,240220,Cigarettes; containing tobacco,2019, World,           3159.73,,
St. Lucia,Export,240220,Cigarettes; containing tobacco,2019, World,           3155.29,59732.9,Kg
Morocco,Export,240220,Cigarettes; containing tobacco,2019, World,           2919.89,64475.6,Kg
Tajikistan,Export,240220,Cigarettes; containing tobacco,2019, World,           2475.08,138957,Kg
Finland,Export,240220,Cigarettes; containing tobacco,2019, World,           1969.81,973.975,Kg
Azerbaijan,Export,240220,Cigarettes; containing tobacco,2019, World,           1733.84,238642,Kg
Pakistan,Export,240220,Cigarettes; containing tobacco,2019, World,           1402.12,,
Jordan,Export,240220,Cigarettes; containing tobacco,2019, World,           1292.29,27758,Kg
Fiji,Export,240220,Cigarettes; containing tobacco,2019, World,           1265.14,1.30784e+006,Kg
Bosnia and Herzegovina,Export,240220,Cigarettes; containing tobacco,2019, World,           1238.10,122445,Kg
Afghanistan,Export,240220,Cigarettes; containing tobacco,2019, World,           1180.81,,
"Congo, Rep.",Export,240220,Cigarettes; containing tobacco,2019, World,           1021.25,27795.8,Kg
Guatemala,Export,240220,Cigarettes; containing tobacco,2019, World,            992.23,48013,Kg
Montenegro,Export,240220,Cigarettes; containing tobacco,2019, World,            875.92,32918.1,Kg
Barbados,Export,240220,Cigarettes; containing tobacco,2019, World,            828.60,14897,Kg
Madagascar,Export,240220,Cigarettes; containing tobacco,2019, World,            680.01,18537.2,Kg
Ghana,Export,240220,Cigarettes; containing tobacco,2019, World,            648.26,15590.1,Kg
Nicaragua,Export,240220,Cigarettes; containing tobacco,2019, World,            597.22,34720.4,Kg
Angola,Export,240220,Cigarettes; containing tobacco,2019, World,            586.98,281746,Kg
Samoa,Export,240220,Cigarettes; containing tobacco,2019, World,            504.96,5114.1,Kg
Slovenia,Export,240220,Cigarettes; containing tobacco,2019, World,            441.08,46889.5,Kg
Niger,Export,240220,Cigarettes; containing tobacco,2019, World,            336.84,18910.9,Kg
Togo,Export,240220,Cigarettes; containing tobacco,2019, World,            318.90,34435,Kg
"Egypt, Arab Rep.",Export,240220,Cigarettes; containing tobacco,2019, World,            284.13,154550,Kg
Lebanon,Export,240220,Cigarettes; containing tobacco,2019, World,            216.28,17369.4,Kg
Guyana,Export,240220,Cigarettes; containing tobacco,2019, World,            189.73,13703,Kg
Antigua and Barbuda,Export,240220,Cigarettes; containing tobacco,2019, World,            149.01,5067.66,Kg
Zambia,Export,240220,Cigarettes; containing tobacco,2019, World,            142.26,83717,Kg
Grenada,Export,240220,Cigarettes; containing tobacco,2019, World,            141.04,3565,Kg
Ethiopia(excludes Eritrea),Export,240220,Cigarettes; containing tobacco,2019, World,            123.29,200966,Kg
Bermuda,Export,240220,Cigarettes; containing tobacco,2019, World,             89.41,1114.19,Kg
Comoros,Export,240220,Cigarettes; containing tobacco,2019, World,             70.47,1300,Kg
Austria,Export,240220,Cigarettes; containing tobacco,2019, World,             46.31,3777.92,Kg
El Salvador,Export,240220,Cigarettes; containing tobacco,2019, World,             36.80,7145.79,Kg
"Congo, Dem. Rep.",Export,240220,Cigarettes; containing tobacco,2019, World,             35.36,794,Kg
Rwanda,Export,240220,Cigarettes; containing tobacco,2019, World,             24.35,2695,Kg
Mali,Export,240220,Cigarettes; containing tobacco,2019, World,             23.67,2495,Kg
Norway,Export,240220,Cigarettes; containing tobacco,2019, World,             17.80,509,Kg
Bolivia,Export,240220,Cigarettes; containing tobacco,2019, World,             16.71,384600,Kg
Lesotho,Export,240220,Cigarettes; containing tobacco,2019, World,             10.81,5982,Kg
Costa Rica,Export,240220,Cigarettes; containing tobacco,2019, World,              5.00,219,Kg
Slovak Republic,Export,240220,Cigarettes; containing tobacco,2019, World,              1.19,562,Kg
Israel,Export,240220,Cigarettes; containing tobacco,2019, World,              1.00,51.0731,Kg
Mozambique,Export,240220,Cigarettes; containing tobacco,2019, World,              0.43,12000,Kg
Ecuador,Export,240220,Cigarettes; containing tobacco,2019, World,              0.26,48.39,Kg
Montserrat,Export,240220,Cigarettes; containing tobacco,2019, World,              0.23,10,Kg
Ireland,Export,240220,Cigarettes; containing tobacco,2019, World,              0.01,2,Kg
