"ISO_3_CODE","VALUE.male","VALUE.female"
"PRI","15","8.7"
"AFG","9.4","3.2"
"DZA","17.4","2.9"
"AZE","25.5","2.6"
"ALB","37.8","7.1"
"ARM","58.5","8.5"
"AGO","4.2","2.6"
"ARG","26.3","13.3"
"AUS","29.2","23.6"
"AUT","33.2","23.3"
"BWA","6.4","0.79"
"BEL","52.2","28.1"
"BHS","10.4","3.5"
"BGD","14.1","4.6"
"BLZ","15.7","5.1"
"BIH","62.4","13.5"
"BOL","10.3","5.5"
"MMR","19.5","11.9"
"BEN","0.94","0.96"
"BLR","54.5","5.7"
"BRA","16.4","10.5"
"BTN","7.1","8.7"
"BGR","50.1","11.3"
"BRN","34.4","26.6"
"BDI","2.6","1.1"
"CAN","31.1","29.3"
"KHM","21.6","8.7"
"TCD","2","1.2"
"LKA","8.3","2.5"
"COG","3.4","1.5"
"COD","3.9","2.4"
"CHL","17","10.6"
"CMR","3","2"
"COL","12.7","8.1"
"CRI","9.5","3.9"
"CAF","3","1.6"
"CUB","38.7","24.1"
"DJI","3","2.2"
"DOM","14.6","10.4"
"ECU","7","5.4"
"IRL","38.8","29.2"
"GNQ","6.4","2.6"
"EST","51.4","14.9"
"ERI","3.3","2.6"
"SLV","6.4","4.8"
"ETH","3.8","3.4"
"CZE","38.5","18.2"
"FIN","24.8","14.7"
"FJI","8","4.8"
"FRA","51.3","22.5"
"GMB","6.2","0.29"
"GAB","10.9","4.4"
"GEO","35.7","3.7"
"GHA","1.8","1.3"
"DEU","41","27.4"
"GRC","67.8","16.4"
"GTM","3.9","2.5"
"GIN","3.7","1.2"
"GUY","5","2.3"
"HTI","6","7"
"HND","6.8","4.8"
"HRV","50.9","18"
"HUN","77.4","41.4"
"ISL","27.7","32.5"
"IND","7.8","3"
"IRN","12.5","5.5"
"CIV","3.4","1.4"
"IRQ","17.4","5"
"JPN","41.4","15.6"
"JAM","21.1","7.3"
"JOR","32","6"
"KEN","3.6","2.3"
"KGZ","26.8","5"
"PRK","48.1","27.4"
"KOR","41.7","17.2"
"KWT","8.7","5.3"
"KAZ","43.8","6.5"
"LAO","29.4","10.2"
"LVA","51.8","9.6"
"LTU","52.6","9.2"
"LBR","3.7","1.3"
"SVK","54.3","13.2"
"LSO","6.4","1.7"
"LBY","26.4","2.9"
"MDG","1.4","0.8"
"MDA","50.5","10.3"
"MNG","36.8","6.3"
"MWI","2.4","1"
"MKD","55.7","14.3"
"MLI","5.5","1.5"
"MAR","31.9","3.5"
"MRT","3.9","1.3"
"OMN","7.1","1.5"
"MEX","7.3","4.5"
"MYS","22.5","8.2"
"MOZ","1.9","1.4"
"NER","0.89","0.04"
"VUT","14.4","1.8"
"NGA","1.6","1"
"NLD","34.5","32.7"
"NOR","30.9","29.2"
"NPL","14.8","16.3"
"SUR","25.7","9.3"
"NIC","7.7","4.5"
"NZL","24.2","26.4"
"PRY","19.3","5.2"
"PER","9.5","8.9"
"PAK","11.5","2.6"
"POL","52.7","24.5"
"PAN","10.4","7.8"
"PRT","38.1","9.7"
"PNG","15.7","8.9"
"GNB","2.6","1.2"
"QAT","10.3","5.8"
"ROU","50.7","12.7"
"PHL","33.1","11.5"
"RUS","48.2","8.1"
"RWA","4.4","3.4"
"SEN","3.7","1.4"
"SVN","46.6","20.8"
"SLE","3.2","1.4"
"SOM","3.7","3.1"
"ESP","42.1","14"
"SWE","16.9","18.1"
"SYR","26.6","8.6"
"CHE","26.6","19.3"
"ARE","7","5"
"THA","29.4","13.1"
"TJK","7.5","3.8"
"TGO","3.1","0.94"
"TUN","26.5","2.5"
"TUR","70.6","9.8"
"TKM","15.7","4"
"TZA","0.85","0.24"
"UGA","4.3","1.9"
"GBR","35.5","30.2"
"UKR","41.7","6.5"
"USA","40.1","30.8"
"BFA","4.6","1.5"
"URY","46.2","13.5"
"UZB","14.1","4.1"
"VEN","19.7","11.4"
"VNM","35.4","11.1"
"SWZ","4.3","1.8"
"ZMB","4","3.5"
"ZWE","5.8","3.3"
"SAU","5.8","2.5"
"YEM","3.9","4.4"
"ZAF","28.2","9.7"
"NAM","5.6","3.1"
"ISR","27.8","15.2"
"IDN","19.4","6"
"EGY","11.6","4.2"
"SDN","2.9","1.7"
"DNK","37.3","36.3"
"ITA","34.5","16"
"CHN","47.8","22.8"
"MNE","62.9","19.5"
"SRB","71.6","30.9"
"SSD","3.6","2.2"
"MUS","17.7","5.4"
"MDV","18.9","6.1"
"SGP","41.5","17.2"
"LCA","12.9","2.6"
"SLB","11","3.9"
"BRB","13.7","5.8"
"CPV","16.3","6.9"
"STP","18.2","6.5"
"TLS","15","7.2"
"WSM","44","28"
"BHR","16.3","6.7"
"CYP","41","8.4"
"LBN","31.3","14.8"
"LUX","40","18.2"
"MLT","28.2","11.8"
"TTO","21.8","5.1"
"GUF","27.2","12.8"
"NCL","59.9","26"
"PSE","26.7","5"
"REU","34.6","9.6"
"PYF","55.7","23.4"
"GLP","13","6.5"
"GUM","53.7","24.3"
"MTQ","12.3","9.2"
