"Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUseMale","TobaccoUseFemale","TobaccoUseAll","TobaccoUseQuartile","LungCancerRateMale","LungCancerRateFemale","LungCancerRateAll","LungCancerRateQuartile","LungCancerRateAllQuartileReadable","PropTobaccoExportsQuartileReadable","PropTobaccoImportsQuartileReadable","TobaccoUseQuartileReadable"
"Afghanistan","AFG",8.568e+09,8.7e+08,59257780,1180810,0.006916174136,4,0.001357252874,3,40.3,6.7,24,3,9.4,3.2,6.3,2,"5.4% - 15.25%","0.001% - 0.002%","0.002% - 0.04%","20.35% - 25.325%"
"Albania","ALB",6926961752,4821430704,995720,NA,0.0001437455606,1,NA,NA,40.7,6.8,23.9,3,37.8,7.1,22.45,3,"15.25% - 28.95%","missing","0% - 0.001%","20.35% - 25.325%"
"Argentina","ARG",65742457330,80130495417,75850,NA,1.153744522e-06,1,NA,NA,30,19.1,24.3,3,26.3,13.3,19.8,3,"15.25% - 28.95%","missing","0% - 0.001%","20.35% - 25.325%"
"Armenia","ARM",7458380573,5631686118,44544350,272920110,0.005972388988,4,0.0484615272,4,51.3,1.7,24.2,3,58.5,8.5,33.5,4,"28.95% - 59.4%","missing","0.002% - 0.04%","20.35% - 25.325%"
"Australia","AUS",3.02e+11,3.36e+11,648334640,36298650,0.00215,3,0.000108,2,15.6,11.3,13.4,2,29.2,23.6,26.4,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","12.175% - 20.35%"
"Austria","AUT",2.32e+11,2.47e+11,233289750,46310,0.00101,2,1.88e-07,1,26.8,22.3,24.5,3,33.2,23.3,28.25,3,"15.25% - 28.95%","0% - 0.001%","0.001% - 0.002%","20.35% - 25.325%"
"Azerbaijan","AZE",17712470588,23629764706,70813030,1733840,0.003997919412,4,7.337525454e-05,2,49.7,0.1,24.4,3,25.5,2.6,14.05,2,"5.4% - 15.25%","0% - 0.001%","0.002% - 0.04%","20.35% - 25.325%"
"Bahamas, The","BHS",4.78e+09,4708300000,4643890,NA,0.0009715251046,2,NA,NA,19.1,2.6,10.5,1,10.4,3.5,6.95,2,"5.4% - 15.25%","missing","0% - 0.001%","3.3% - 12.175%"
"Bahrain","BHR",25207712766,29564361702,151647320,106183610,0.006015909551,4,0.003591608406,4,27.2,4.6,19.8,2,16.3,6.7,11.5,2,"5.4% - 15.25%","0.002% - 0.048%","0.002% - 0.04%","12.175% - 20.35%"
"Barbados","BRB",2021649115,1942393950,2375930,828600,0.001175243509,2,0.0004265869959,2,14.5,1.9,7.9,1,13.7,5.8,9.75,2,"5.4% - 15.25%","0% - 0.001%","0.001% - 0.002%","3.3% - 12.175%"
"Belgium","BEL",4.36e+11,4.4e+11,371354390,68944900,0.000851,2,0.000157,2,25.3,19,22.1,3,52.2,28.1,40.15,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
