Country,ALPHA3,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
Afghanistan,AFG,8.57E+09,8.70E+08,59257780,1180810,0.006916174,4,0.001357253,3,24,3
Albania,ALB,6926961752,4821430704,995720,NA,0.000143746,1,NA,NA,23.9,3
Argentina,ARG,65742457330,80130495417,75850,NA,1.15E-06,1,NA,NA,24.3,3
Armenia,ARM,7458380573,5631686118,44544350,272920110,0.005972389,4,0.048461527,4,24.2,3
Australia,AUS,3.02E+11,3.36E+11,648334640,36298650,0.00215,3,0.000108,2,13.4,2
Austria,AUT,2.32E+11,2.47E+11,233289750,46310,0.00101,2,1.88E-07,1,24.5,3
Azerbaijan,AZE,17712470588,23629764706,70813030,1733840,0.003997919,4,7.34E-05,2,24.4,3
"Bahamas, The",BHS,4.78E+09,4708300000,4643890,NA,0.000971525,2,NA,NA,10.5,1
Bahrain,BHR,25207712766,29564361702,151647320,106183610,0.00601591,4,0.003591608,4,19.8,2
Barbados,BRB,2021649115,1942393950,2375930,828600,0.001175244,2,0.000426587,2,7.9,1
Belgium,BEL,4.36E+11,4.40E+11,371354390,68944900,0.000851,2,0.000157,2,22.1,3
Belize,BLZ,1159250000,1160350000,46304930,5394940,0.039943869,4,0.004649408,4,8.8,1
Benin,BEN,4900485169,4264332621,6134950,NA,0.001251907,3,NA,NA,6.3,1
Bolivia,BOL,12853418148,10210442518,14340260,16710,0.001115677,2,1.64E-06,1,13.7,2
Bosnia and Herzegovina,BIH,11156040522,8195701122,40367630,1238100,0.003618455,4,0.000151067,2,35.9,4
Botswana,BWA,7694753577,6203255887,20590700,3159730,0.00267594,4,0.000509366,2,18.8,2
Brazil,BRA,2.77E+11,2.65E+11,9798750,19812720,3.54E-05,1,7.49E-05,2,13.4,2
Brunei,BN,6810627547,7804997288,23730,NA,3.48E-06,1,NA,NA,17.5,2
Bulgaria,BGR,41835852318,44060618775,101365300,64020690,0.002422929,3,0.001453014,3,34.8,4
Burkina Faso,BFA,5023004665,4467779365,6176960,NA,0.001229734,3,NA,NA,14.3,2
