Country,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
Afghanistan,8568000000,870000000,59257780,1180810,0.006916174136,4,0.001357252874,3,24,3
Albania,6926961752,4821430704,995720,,0.0001437455606,1,,,23.9,3
Argentina,65742457330,80130495417,75850,,0.000001153744522,1,,,24.3,3
Armenia,7458380573,5631686118,44544350,272920110,0.005972388988,4,0.0484615272,4,24.2,3
Australia,3.02E+11,3.36E+11,648334640,36298650,2.15E-03,3,1.08E-04,2,13.4,2
Austria,2.32E+11,2.47E+11,233289750,46310,1.01E-03,2,1.88E-07,1,24.5,3
Azerbaijan,17712470588,23629764706,70813030,1733840,0.003997919412,4,0.00007337525454,2,24.4,3
"Bahamas, The",4780000000,4708300000,4643890,,0.0009715251046,2,,,10.5,1
Bahrain,25207712766,29564361702,151647320,106183610,0.006015909551,4,0.003591608406,4,19.8,2
Barbados,2021649115,1942393950,2375930,828600,0.001175243509,2,0.0004265869959,2,7.9,1
Belgium,4.36E+11,4.40E+11,371354390,68944900,8.51E-04,2,1.57E-04,2,22.1,3
Belize,1159250000,1160350000,46304930,5394940,0.03994386888,4,0.004649407506,4,8.8,1
Benin,4900485169,4264332621,6134950,,0.001251906656,3,,,6.3,1
Bolivia,12853418148,10210442518,14340260,16710,0.001115676767,2,0.000001636559823,1,13.7,2
Bosnia and Herzegovina,11156040522,8195701122,40367630,1238100,0.003618454946,4,0.0001510670023,2,35.9,4
Botswana,7694753577,6203255887,20590700,3159730,0.002675940145,4,0.0005093663807,2,18.8,2
Brazil,2.77E+11,2.65E+11,9798750,19812720,3.54E-05,1,7.49E-05,2,13.4,2
Brunei,6810627547,7804997288,23730,,0.00000348426042,1,,,17.5,2
Bulgaria,41835852318,44060618775,101365300,64020690,0.002422929004,3,0.001453013865,3,34.8,4
Burkina Faso,5023004665,4467779365,6176960,,0.001229734076,3,,,14.3,2
Burundi,615740071.3,133504138.4,89180,3704990,0.0001448338417,1,0.0277518738,4,11.2,1
Cambodia,16921448890,16549259441,233225830,17273040,0.01378285226,4,0.001043734921,3,18.7,2
Canada,5.84E+11,5.56E+11,9160020,103839700,1.57E-05,1,1.87E-04,2,13,2
Cape Verde,790000000,62000000,1125110,,0.001424189873,3,,,11.5,1
Chile,82722511206,77541641202,4303630,80031780,0.00005202489549,1,0.001032113568,3,29.5,4
China,2.50E+12,2.63E+12,636889200,705422090,2.55E-04,1,2.68E-04,2,25.4,4
Colombia,70084060395,51271147230,83593070,4402440,0.00119275438,3,0.00008586583757,2,8.7,1
